item,type,label,number_sitelinks,sitelinks_translation_entropy,number_claims,po_P495,po_P1343,po_P2596,po_P17,number_of_P31,sum_cultural_claims,po_P172,po_P1268,po_P136,category_architecture,category_biology,category_books,category_comics and anime,category_fashion,category_films,category_food,category_geography,category_gestures and habits,category_history,category_literature,category_media,category_music,category_performing arts,category_philosophy and religion,category_politics,category_sports,category_transportation,category_visual arts
http://www.wikidata.org/entity/Q4630640,1,cultural representative,3,1.584962500721156,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q5476713,1,cultural representative,45,1.7926307421334764,58,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q219293,1,cultural representative,14,0.7345299214394703,32,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q131401366,1,cultural representative,10,3.121928094887362,9,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q520959,1,cultural exclusive,2,1.0,15,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4635677,1,cultural agnostic,1,0.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2850042,1,cultural agnostic,4,2.0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q229390,0,cultural agnostic,47,4.722260862767771,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2180721,1,cultural agnostic,5,1.3709505944546687,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1060398,0,cultural agnostic,25,4.323856189774722,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4639659,0,cultural agnostic,2,0.0,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q275936,1,cultural exclusive,14,0.7345299214394703,18,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1758841,0,cultural exclusive,9,1.6577427265048887,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q3602929,1,cultural representative,5,0.0,19,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q3728308,1,cultural exclusive,5,0.7219280948873623,9,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q85739206,1,cultural exclusive,1,0.0,5,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q614986,1,cultural representative,5,1.5219280948873621,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q23912,1,cultural representative,6,2.584962500721156,27,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q277763,1,cultural representative,31,0.8128426794703056,40,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q9513,1,cultural representative,85,4.326807994859422,87,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q1945630,1,cultural representative,3,0.9182958340544896,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q301092,1,cultural representative,36,1.6037593748197105,61,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2708661,1,cultural exclusive,14,2.260820318171659,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q30556,1,cultural exclusive,19,3.221097250057956,29,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q55210,1,cultural representative,63,3.1046809298092564,186,0,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q157550,1,cultural representative,43,5.083127836047133,48,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q262737,1,cultural agnostic,10,1.3567796494470397,10,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q84044419,1,cultural exclusive,11,0.0,14,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q9457,1,cultural exclusive,5,1.9219280948873623,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q25350,0,cultural agnostic,94,5.918690580285953,84,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q59647,1,cultural exclusive,19,3.681880802803401,20,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q322956,1,cultural exclusive,2,0.0,17,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q91,1,cultural representative,203,3.1612384528225683,309,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q4650387,1,cultural exclusive,4,0.0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2822053,1,cultural exclusive,5,1.9219280948873623,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q332564,0,cultural agnostic,6,2.584962500721156,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q7849,1,cultural representative,46,4.539122553553875,17,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q5670,1,cultural representative,142,3.8303389984675134,102,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2704613,1,cultural exclusive,18,3.614369445886757,54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q337429,1,cultural exclusive,9,1.3921472236645345,10,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q288066,1,cultural agnostic,5,1.9219280948873623,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q4672263,0,cultural agnostic,1,0.0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q16001522,1,cultural agnostic,25,3.863465189601645,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q4672374,0,cultural agnostic,6,2.584962500721156,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q83390,0,cultural agnostic,10,0.4689955935892812,9,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q419736,0,cultural agnostic,25,4.133660689688185,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q706884,1,cultural agnostic,20,4.1219280948873624,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q1863064,1,cultural representative,9,2.94770277922009,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q42292,0,cultural agnostic,104,6.194389809649842,93,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q386510,0,cultural agnostic,20,2.660964047443681,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q236932,1,cultural representative,31,2.5329495353558547,18,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q196188,0,cultural agnostic,32,4.4261085007312415,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q423918,1,cultural agnostic,13,3.180832987205441,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q288838,1,cultural exclusive,15,1.9898980954642875,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q188473,0,cultural agnostic,64,5.756099367586925,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4010939,0,cultural agnostic,11,3.459431618637298,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q4677625,0,cultural agnostic,4,2.0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q344394,1,cultural exclusive,5,1.9219280948873623,16,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4677709,0,cultural agnostic,1,0.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q21169216,0,cultural agnostic,16,3.149397470347699,26,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q289953,1,cultural exclusive,26,1.2989565682277364,57,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4214,1,cultural representative,42,2.158482347871494,136,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q310285,1,cultural representative,28,1.6488348542809168,147,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q352270,1,cultural exclusive,25,3.041706277574313,24,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q31353,1,cultural representative,34,2.4863286677871845,102,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q367540,1,cultural exclusive,17,3.057476076289932,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1306755,0,cultural agnostic,43,4.850569696512249,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q13455645,0,cultural exclusive,1,0.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q515244,0,cultural exclusive,15,3.7735572622751845,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q358832,0,cultural representative,3,1.584962500721156,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q3270129,1,cultural exclusive,15,2.6825887305018328,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q289078,1,cultural exclusive,21,3.1348711391327266,26,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q98756,1,cultural exclusive,7,1.6644977792004614,29,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q183496,0,cultural agnostic,38,4.035986781732789,36,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q78125,1,cultural exclusive,8,2.0,45,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q5327,1,cultural representative,68,2.622286204520074,110,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q87827,1,cultural exclusive,3,0.9182958340544896,48,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q16001865,0,cultural agnostic,2,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q123621,1,cultural representative,30,1.76560173299672,71,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q373699,1,cultural exclusive,2,0.0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q373765,1,cultural representative,9,0.7642045065086203,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q80994,0,cultural agnostic,94,5.822029236379779,47,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q3249257,0,cultural agnostic,21,4.297079327540665,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q379222,1,cultural representative,12,1.584962500721156,31,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q16001911,1,cultural agnostic,1,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q319221,0,cultural agnostic,59,5.496966990003134,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q3773427,0,cultural exclusive,6,1.4591479170272448,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q381276,1,cultural representative,2,1.0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q193124,0,cultural agnostic,53,5.011426710204006,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q376771,1,cultural agnostic,10,2.1609640474436813,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q62447,0,cultural agnostic,39,3.9829922824655495,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q365873,0,cultural agnostic,8,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q381564,1,cultural exclusive,7,1.1488348542809166,9,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q4688512,1,cultural exclusive,2,0.0,6,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q35986,0,cultural agnostic,117,5.1502929523265735,94,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q291566,1,cultural exclusive,3,0.9182958340544896,14,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4688848,1,cultural exclusive,12,3.584962500721156,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q59059,0,cultural representative,32,2.8561450333085068,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4384867,0,cultural exclusive,5,2.321928094887362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q387407,0,cultural representative,13,3.334679141051595,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q3070125,1,cultural exclusive,8,2.75,16,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15276542,0,cultural representative,8,2.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4689646,0,cultural exclusive,2,1.0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q3070379,1,cultural exclusive,3,1.584962500721156,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q123050602,0,cultural representative,2,1.0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q384559,1,cultural exclusive,2,1.0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q388202,0,cultural representative,18,3.94770277922009,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q24910,1,cultural exclusive,3,1.584962500721156,64,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4726861,0,cultural exclusive,3,0.9182958340544896,9,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q392918,0,cultural exclusive,30,4.773557262275186,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
http://www.wikidata.org/entity/Q4692205,1,cultural exclusive,3,1.584962500721156,12,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q866298,0,cultural agnostic,24,4.303508854797679,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q393786,1,cultural exclusive,4,0.8112781244591328,20,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q395389,1,cultural exclusive,4,2.0,28,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q174312,1,cultural exclusive,8,2.75,27,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q19890860,0,cultural agnostic,4,2.0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4693967,0,cultural agnostic,4,2.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q2942535,1,cultural exclusive,11,2.845350936622437,28,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4694505,0,cultural representative,5,0.7219280948873623,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2635155,0,cultural exclusive,11,1.8676338909712125,10,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.wikidata.org/entity/Q26111350,1,cultural exclusive,16,3.0306390622295662,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.wikidata.org/entity/Q310609,1,cultural agnostic,11,2.845350936622437,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q174401,1,cultural exclusive,2,0.0,12,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q403021,1,cultural exclusive,2,1.0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q5623,1,cultural exclusive,17,1.5569010760354054,52,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q406714,1,cultural agnostic,10,2.5219280948873624,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q4698311,0,cultural agnostic,4,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q407916,1,cultural exclusive,8,0.5435644431995964,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
http://www.wikidata.org/entity/Q420953,0,cultural representative,29,2.2697516838875162,28,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q4698342,1,cultural agnostic,16,4.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q2049775,1,cultural representative,15,3.906890595608518,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
